GaitPhase,pMMGMean_5,NewCol5
70.07007007,-3.661705485,0.093738036
70.17017017,-3.64761318,0.093449908
70.27027027,-3.634120061,0.096066064
70.37037037,-3.596195797,0.09868222
70.47047047,-3.580338608,0.101298376
70.57057057,-3.562960179,0.103914532
70.67067067,-3.54828068,0.095343959
70.77077077,-3.540881483,0.066744715
70.87087087,-3.507968559,0.072355214
70.97097097,-3.493352868,0.077965713
71.07107107,-3.477670347,0.068066289
71.17117117,-3.463351027,0.066659185
71.27127127,-3.459311122,0.069974601
71.37137137,-3.433070025,0.072965213
71.47147147,-3.419783704,0.075955825
71.57157157,-3.407573958,0.078946437
71.67167167,-3.394551067,0.083788138
71.77177177,-3.388988121,0.087765107
71.87187187,-3.370157895,0.09104325
71.97197197,-3.360224052,0.094321392
72.07207207,-3.350076082,0.093820336
72.17217217,-3.336659879,0.09196486
72.27227227,-3.326169189,0.083744076
72.37237237,-3.313662569,0.07498202
72.47247247,-3.308286917,0.066219964
72.57257257,-3.300497738,0.062857695
72.67267267,-3.287695032,0.070458557
72.77277277,-3.276162132,0.056933842
